uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-05-227-279899,dutch,ja,ja,279899,280181,spreker2 [v] (TIE2),282,-45,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-330-435880,dutch,ja,ja,435880,436366,spreker2 [v] (TIE2),486,147,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-350-457029,dutch,nee,nee,457029,457469,spreker2 [v] (TIE2),440,214,full,talk,3,9041,1.4064268398529449e-6,2,2
dutch-05-438-582635,dutch,ja,ja,582635,582937,spreker2 [v] (TIE2),302,-1350,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-493-643699,dutch,ja,ja,643699,644045,spreker2 [v] (TIE2),346,-1184,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-560-719931,dutch,ja,ja,719931,720179,spreker2 [v] (TIE2),248,78,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-565-731189,dutch,ja,ja,731189,731436,spreker2 [v] (TIE2),247,-61,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-05-625-798078,dutch,ja,ja,798078,798371,spreker1 [v] (TIE0),293,-293,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-632-803957,dutch,ja,ja,803957,804148,spreker2 [v] (TIE2),191,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-671-850584,dutch,dat viel 'm tegen,dat viel 'm tegen,850584,851553,spreker1 [v] (TIE0),969,-34,NA,talk,17,2,3.111219643519399e-10,204,2
dutch-05-683-862626,dutch,precies,precies,862626,863128,spreker1 [v] (TIE0),502,NA,NA,talk,7,249,3.8734684561816533e-8,56,2
dutch-06-407-495850,dutch,ja,ja,495850,496212,spreker1 [v] (TIE0),362,-1266,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-06-471-558106,dutch,ja,ja,558106,558435,spreker2 [v] (TIE2),329,1602,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-06-485-575763,dutch,ja,ja,575763,576070,spreker1 [v] (TIE0),307,-74,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-06-516-611546,dutch,slinks,slinks,611546,612073,spreker1 [v] (TIE0),527,-197,partial,talk,6,3,4.666829465279099e-10,203,2
dutch-06-556-653640,dutch,ja,ja,653640,654101,spreker2 [v] (TIE2),461,120,full,talk,2,77862,1.2112289194185375e-5,1,2
